timestamp,city,lat,lon,aqi,pm2_5,pm10,no2,so2,o3,hour,weekday,pm2_5_ma,pm10_ma
2025-09-15 12:00:00,Delhi,28.6517178,77.2219388,2,13.21,26.35,3.44,1.36,79.84,12,0,13.31,26.74666666666667
2025-09-15 13:00:00,Delhi,28.6517178,77.2219388,2,13.99,28.2,7.68,1.71,66.85,13,0,13.516666666666667,27.083333333333332
2025-09-15 14:00:00,Delhi,28.6517178,77.2219388,2,15.83,32.13,12.26,2.23,50.81,14,0,14.343333333333334,28.893333333333334
2025-09-15 15:00:00,Delhi,28.6517178,77.2219388,2,17.74,36.04,14.67,2.56,40.44,15,0,15.853333333333333,32.123333333333335
2025-09-15 16:00:00,Delhi,28.6517178,77.2219388,2,19.09,38.38,15.45,2.63,33.58,16,0,17.55333333333333,35.51666666666667
2025-09-15 17:00:00,Delhi,28.6517178,77.2219388,2,20.25,39.94,15.51,2.53,29.63,17,0,19.026666666666667,38.120000000000005
2025-09-15 18:00:00,Delhi,28.6517178,77.2219388,2,20.77,39.98,14.96,2.22,27.86,18,0,20.036666666666665,39.43333333333334
2025-09-15 19:00:00,Delhi,28.6517178,77.2219388,2,20.27,38.12,12.99,1.8,28.89,19,0,20.43,39.346666666666664
2025-09-15 20:00:00,Delhi,28.6517178,77.2219388,2,20.02,37.21,11.04,1.56,30.07,20,0,20.353333333333335,38.43666666666667
2025-09-15 21:00:00,Delhi,28.6517178,77.2219388,2,20.03,37.19,9.51,1.43,31.09,21,0,20.10666666666667,37.50666666666667
2025-09-15 22:00:00,Delhi,28.6517178,77.2219388,2,20.06,37.53,8.12,1.39,32.77,22,0,20.036666666666665,37.31
2025-09-15 23:00:00,Delhi,28.6517178,77.2219388,2,20.11,38.01,7.0,1.35,34.28,23,0,20.066666666666666,37.57666666666666
2025-09-16 00:00:00,Delhi,28.6517178,77.2219388,2,20.05,38.52,6.26,1.31,35.62,0,1,20.073333333333334,38.02
2025-09-16 01:00:00,Delhi,28.6517178,77.2219388,2,19.79,39.04,6.13,1.36,36.37,1,1,19.983333333333334,38.52333333333333
2025-09-16 02:00:00,Delhi,28.6517178,77.2219388,2,19.65,40.15,7.13,1.57,35.37,2,1,19.83,39.23666666666667
2025-09-16 03:00:00,Delhi,28.6517178,77.2219388,2,19.37,40.82,7.18,1.76,36.97,3,1,19.603333333333335,40.00333333333333
2025-09-16 04:00:00,Delhi,28.6517178,77.2219388,2,18.24,39.43,5.88,1.73,46.86,4,1,19.086666666666662,40.13333333333333
2025-09-16 05:00:00,Delhi,28.6517178,77.2219388,2,19.15,39.9,4.56,1.74,59.68,5,1,18.92,40.050000000000004
2025-09-16 06:00:00,Delhi,28.6517178,77.2219388,2,23.87,44.53,3.55,1.81,75.52,6,1,20.419999999999998,41.28666666666667
2025-09-16 07:00:00,Delhi,28.6517178,77.2219388,2,17.41,32.83,1.94,1.08,82.41,7,1,20.14333333333333,39.086666666666666
2025-09-16 08:00:00,Delhi,28.6517178,77.2219388,2,13.43,25.89,1.49,0.8,81.29,8,1,18.236666666666668,34.416666666666664
2025-09-16 09:00:00,Delhi,28.6517178,77.2219388,2,12.33,23.67,1.54,0.78,80.83,9,1,14.39,27.46333333333334
2025-09-16 10:00:00,Delhi,28.6517178,77.2219388,2,11.89,22.87,2.0,0.87,79.65,10,1,12.549999999999999,24.143333333333334
2025-09-16 11:00:00,Delhi,28.6517178,77.2219388,2,11.9,23.21,3.17,1.07,75.99,11,1,12.040000000000001,23.250000000000004
2025-09-16 12:00:00,Delhi,28.6517178,77.2219388,2,12.01,23.88,4.83,1.29,71.46,12,1,11.933333333333335,23.320000000000004
2025-09-16 13:00:00,Delhi,28.6517178,77.2219388,2,13.02,26.41,9.82,1.75,57.83,13,1,12.31,24.5
2025-09-16 14:00:00,Delhi,28.6517178,77.2219388,2,15.03,31.25,15.46,2.5,42.36,14,1,13.353333333333333,27.180000000000003
2025-09-16 15:00:00,Delhi,28.6517178,77.2219388,2,17.1,36.21,18.95,3.23,32.59,15,1,15.050000000000002,31.290000000000003
